URL,Restaurante,Endereco,Bairro,Cidade,UF,CEP,Data_Scraping
https://www.ifood.com.br/delivery/uberlandia-mg/mcdonalds---drive-rondon-pachecodro-tabajaras/d5641fb9-ee12-4895-9f6f-3f2a8fd6493f,Mcdonald's - Drive Rondon Pacheco(dro),"Av Rondon Pacheco, 1311",Tabajaras,Uberlandia,MG,38400-242,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/burger-king---floriano-peixoto-centro/05d6113f-a4d3-411d-b3e0-0b60859b901c,Burger King - Floriano Peixoto,"Avenida Floriano Peixoto, 28",Centro,Uberlandia,MG,38400-100,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/marmitas-e-frango-assado-galante-tubalina/56751b0a-b28b-43c1-86e2-af1557a47575,Marmitas e Frango Assado Galante,"Avenida Sílvio Rugani, 715",Tubalina,Uberlandia,MG,38412-026,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/best-parmegiana-massa-e-strogonoff-saraiva/663d2bac-d45a-4a70-999e-04e42dd13ecb,"Best Parmegiana, Massa e Strogonoff","Avenida João Naves de Ávila, 1730",Saraiva,Uberlandia,MG,38408-100,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/dina-restaurante-centro/a0b98087-1784-4846-8770-7ac966aefe02,Dina Restaurante,"Rua Roosevelt Oliveira, 652",Centro,Uberlandia,MG,38400-610,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/palhoca-restaurante-jardim-das-palmeiras/a1519a2d-8ded-4a2a-89f3-0663c0bdfffe,Palhoça Restaurante,"Avenida dos Pássaros, 133",Jardim das Palmeiras,Uberlandia,MG,38412-258,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/marmitaria-tempero-da-vovo---marmitas-jaragua/889c9e81-5631-41f7-a182-dcce2faf7fdf,Marmitaria Tempero da Vovó - Marmitas,"Av. Imbaúba, 2076",Jaraguá,Uberlandia,MG,38413-316,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/dina-restaurante--patio-vinhedos-jardim-karaiba/46e92b87-1b44-4bdd-a344-985c26993c46,Dina Restaurante- Pátio Vinhedos,"Avenida dos Vinhedos, 50",Jardim Karaiba,Uberlandia,MG,38411-159,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/palanca-grill-restaurante-e-churrascaria-planalto/b0fc92c4-3812-4e03-bcc1-ca7cc818ed7f,Palanca Grill Restaurante e Churrascaria,"Avenida Indaiá, 1130",Planalto,Uberlandia,MG,38413-111,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/n1-chicken---frango-frito-crocante-jaragua/43949810-7c5a-4c25-a2f7-69457280b877,N1 Chicken - Frango Frito Crocante,"Avenida Aspirante Mega, 312",Jaragua,Uberlandia,MG,38413-018,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/obaianeiro---comida-nordestina-jardim-holanda/5ce54c35-aabf-4de1-a5a2-f84ab634b70a,Obaianeiro - Comida Nordestina,"Alameda José de Oliveira Guimarães, 573",Jardim Holanda,Uberlandia,MG,38412-324,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/liro-chef-restaurante-fundinho/062bdf08-e2ae-400f-875d-e38863feada2,Liro Chef Restaurante,"Rua Princesa Isabel, 1275",Fundinho,Uberlandia,MG,38400-192,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/subway---planalto-planalto/9a95b0d4-bd5b-43e2-b301-8dc438ddd5a8,Subway - Planalto,"Rua da Secretária, 633",Planalto,Uberlandia,MG,38413-150,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/bestrogonoff---comida-brasileira-saraiva/28317e81-85ba-46c8-bb0d-b61ca787e908,Bestrogonoff - Comida Brasileira,"Avenida João Naves de Ávila, 1730",Saraiva,Uberlandia,MG,38408-100,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/marias-restaurante-fundinho/25aaffe3-233d-4cd6-a820-7ef63aed70ae,Marias Restaurante,"Praça Clarimundo Carneiro, 238",Fundinho,Uberlandia,MG,38400-154,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/o-rei-do-macarrao-lidice/df373d7d-725d-4f8d-b347-6218e192a9d7,O Rei do Macarrão,"Rua Santos Dumont, 873",Lídice,Uberlandia,MG,38400-062,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/churrascaria-e-restaurante-casa-grill-tubalina/17e81512-bcbd-4194-a75a-8c576c83aee0,Churrascaria e Restaurante Casa Grill,"Rua São Francisco Xavier, 590",Tubalina,Uberlandia,MG,38412-080,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/pastelaria-afonso-pena-centro/4fa9fed4-b43b-4560-9850-aed2a8d6d7bb,Pastelaria Afonso Pena,"Avenida Cipriano Del Favero, 931",Centro,Uberlandia,MG,38400-106,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/acai-da-terra-patrimonio/86a23c1b-a15f-42c1-9732-90dbeb04c9ac,Açaí da Terra,"Avenida Liberdade, 285",Patrimonio,Uberlandia,MG,38411-247,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/espetinhos-do-david-presidente-roosevelt/370d62a1-fc7d-4cec-abda-500a70c30916,Espetinhos do David,"Praça Lincon, 50",Presidente Roosevelt,Uberlandia,MG,38401-046,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/sobremesas-do-mequi-dro-tabajaras/4f6b5ce1-5ae6-47b7-b039-118d95f68de7,Sobremesas do Méqui (dro),"Av Rondon Pacheco, 1311",Tabajaras,Uberlandia,MG,38400-242,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/o-rei-dos-pratos-lidice/c0db0761-2029-4b5a-8b3b-dacf5120bc53,O Rei dos Pratos,"Rua Santos Dumont, 873",Lídice,Uberlandia,MG,38400-062,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/sossego-dos-mineiros-cidade-jardim/94c54b96-7653-4616-9eb0-60ddc2efa643,Sossego dos Mineiros,"R. dos Girassóis, 155",Cidade Jardim,Uberlandia,MG,38412-140,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/oli-pop-patrimonio/df0ec83d-2420-4396-b388-dd4786535e61,Oli Pop,"Avenida Liberdade, 234",Patrimônio,Uberlandia,MG,38411-247,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/saraiva-assados-saraiva/70b9b288-35d1-4544-a2d3-803b49cc2ea7,Saraiva Assados,"Avenida João Naves de Ávila, 3300",Saraiva,Uberlandia,MG,38408-100,2025-06-15 15:15:41
